date,n_total,n_total_liq,classifiable_pct,adv,dec,unch,rana,adv_pct,adv_liq,dec_liq,unch_liq,rana_liq,osc,osc_liq
2025-02-03,7027,4497,0.832409972299169,2223,4439,172,-0.33263284299009305,0.33368357850495345,1276,2867,61,-0.38402124064687426,-7.420445019736151,-10.808198785875991
2025-02-04,6934,4343,0.834329719323133,4241,2345,189,0.2878833890069845,0.6439416945034923,2626,1427,52,0.29583024919812484,9.076947106401084,6.571916064504733
2025-02-05,6969,4347,0.8321175278622087,4346,2187,212,0.330476044696158,0.6652380223480789,2620,1362,72,0.3159216474133601,25.26646542317509,22.403624592019494
2025-02-06,6999,4374,0.83202416918429,3104,3472,215,-0.05596107055961071,0.4720194647201946,1910,2076,69,-0.04164576016056196,19.660315494112552,17.949346881388408
2025-02-07,6955,4424,0.8336185203824862,1988,4603,200,-0.3967531482324382,0.30162342588378094,1121,2940,60,-0.447919231716326,-2.27084815634785,-6.262480873396314
2025-02-10,7012,4460,0.8308467741935484,3620,2943,222,0.1031540454060643,0.5515770227030321,2224,1867,75,0.0872647274505011,3.9847208452153673,-0.17308324102891307
2025-02-11,6980,4350,0.8322304794869184,3000,3586,224,-0.08897661706650471,0.45551169146674764,1788,2248,70,-0.11397423191278494,-0.2932243863026096,-5.027730817313944
2025-02-12,6980,4411,0.8318934851102754,2501,4065,221,-0.23819677124581176,0.38090161437709413,1566,2450,74,-0.2201195219123506,-11.410409146284318,-14.460580340929354
2025-02-13,6972,4411,0.8355748811811103,4645,1964,181,0.40565894991678014,0.7028294749583901,2906,1135,68,0.4382578569660975,11.334235987792336,10.465505162006515
2025-02-14,6974,4329,0.8337241309001937,3397,3167,223,0.03503960999390616,0.517519804996953,1929,2069,80,-0.03501750875437719,12.193269401345216,8.06121245518292
2025-02-18,7011,4524,0.8360295586179349,3487,3120,212,0.05554714696533979,0.5277735734826698,2299,1741,75,0.13811881188118813,13.892153471497883,14.6220521603511
2025-02-19,6963,4389,0.8361972547025928,2838,3747,228,-0.13804100227790433,0.43097949886104786,1687,2397,87,-0.17384916748285995,5.595831121958719,4.560060879265732
2025-02-20,6967,4340,0.8366602492653764,2509,4030,247,-0.23260437375745527,0.3836978131212724,1440,2579,68,-0.28340383179895495,-6.253672216484606,-9.543475186263338
2025-02-21,6944,4442,0.8386999091551428,1697,4902,171,-0.48567964843158057,0.25716017578420974,778,3270,47,-0.6156126482213439,-29.007492943477494,-38.16472196747882
2025-02-24,6976,4471,0.8371185592796399,2426,4119,213,-0.2586707410236822,0.3706646294881589,1416,2669,69,-0.30673194614443083,-36.96652682994411,-47.001029251735005
